name,level,parent_region,lat,lon
Cercado,2,El Beni,-14.8332996368408,-64.9000015258789
Jose Ballivian,2,El Beni,-14.5299803415934,-67.2040863037109
Marbán,2,El Beni,-15.3315274715424,-64.4563884735107
Moxos,2,El Beni,-15.2897000312805,-66.4449996948242
Vaca Diez,2,El Beni,-11.0128002166748,-66.0571975708008
Hernando Siles,2,Chuquisaca,-19.8048191070557,-63.9562797546387
Jaime Zudáñez,2,Chuquisaca,-18.9333324432373,-64.9333343505859
Juana Azurduy de Padilla,2,Chuquisaca,-19.99880027771,-64.4899978637695
Luis Calvo,2,Chuquisaca,-20.1728000640869,-63.6349811553955
Nor Cinti,2,Chuquisaca,-20.3710136413574,-65.1739654541016
Provincia de Oropeza,2,Chuquisaca,-19.0421390533447,-65.2558822631836
Provincia de Samuel Oropeza,2,Chuquisaca,-18.4833335876465,-65.5
Provincia de Tomina,2,Chuquisaca,-19.4170219421387,-64.4196029663086
Provincia de Yamparáez,2,Chuquisaca,-19.1762599945068,-64.9166564941406
Provincia Hernando Siles,2,Chuquisaca,-20.0833320617676,-64.0833358764648
Sud Cinti,2,Chuquisaca,-20.8236694335938,-64.9454498291016
Alonso De Ibanez,2,Cochabamba,-17.9710006713867,-66.5404968261719
Arque,2,Cochabamba,-17.8189001083374,-66.4681015014648
Ayopaya,2,Cochabamba,-16.9566834767659,-66.6234537760417
Capinota,2,Cochabamba,-17.7577330271403,-66.2620366414388
Carrasco,2,Cochabamba,-17.3366451263428,-65.2868041992188
Cercado,2,Cochabamba,-17.3897333145142,-66.1647872924805
Esteban Arce,2,Cochabamba,-17.6546999613444,-65.991200764974
Germán Jordán,2,Cochabamba,-17.4095001220703,-66.0404968261719
Punata,2,Cochabamba,-17.4888000488281,-65.8232116699219
Quillacollo,2,Cochabamba,-17.3935438791911,-66.2792231241862
Tapacarí,2,Cochabamba,-17.5172996520996,-66.618896484375
Tiraque,2,Cochabamba,-16.9666996002197,-65.4167022705078
Aroma,2,La Paz,-17.212929725647,-67.9484176635742
Camacho,2,La Paz,-15.4715595245361,-69.0114466349284
Franz Tamayo,2,La Paz,-14.7695002555847,-68.7415504455566
Gualberto Villarroel,2,La Paz,-17.6333669026693,-68.0277659098307
Iturralde,2,La Paz,-14.1077103614807,-67.8656272888184
José Manuel Pando,2,La Paz,-17.5081005096436,-67.6723022460938
Larceja,2,La Paz,-15.7733325958252,-68.6480560302734
Munecas,2,La Paz,-15.4203500747681,-68.7598495483398
Nor Yungas,2,La Paz,-16.1941776275635,-67.7288131713867
Pacajes,2,La Paz,-17.2242121696472,-68.7744750976562
Carangas,2,Oruro,-18.7481994628906,-67.7539978027344
Cercado,2,Oruro,-17.9914538065592,-67.1466318766276
Eduardo Avaroa,2,Oruro,-18.8999996185303,-66.7667007446289
Poopo,2,Oruro,-18.4804801940918,-66.9210929870605
Saucari,2,Oruro,-18.1814002990723,-67.4060974121094
Sur Carangas,2,Oruro,-18.716667175293,-67.5666656494141
Madre De Dios,2,Pando,-11.5194848378499,-66.7876358032227
Manuripi,2,Pando,-11.1033000946045,-67.5547027587891
Nicolas Suarez,2,Pando,-11.1291033426921,-68.3910140991211
Alonso De Ibanez,2,Potosí,-18.2348709106445,-66.4726867675781
Antonio Quijarro,2,Potosí,-19.6726481119792,-66.3847325642904
Bernardino Bilbao,2,Potosí,-18.02121925354,-66.0580368041992
Charcas,2,Potosí,-18.2027645111084,-65.870792388916
Cornelio Saavedra,2,Potosí,-19.5715303421021,-65.5024719238281
Enrique Baldivieso,2,Potosí,-21.1595897674561,-67.675422668457
Jose Maria Linares,2,Potosí,-19.8918972015381,-65.5639012654622
Nor Chichas,2,Potosí,-20.5108251571655,-65.5785636901855
Nor Lípez,2,Potosí,-20.7902774810791,-67.6672210693359
Rafael Bustillo,2,Potosí,-18.4458656311035,-66.5733337402344
Sud Chichas,2,Potosí,-21.186107635498,-65.9809265136719
Sur Lípez,2,Potosí,-21.7190847396851,-66.4585609436035
Tomas Frias,2,Potosí,-19.5829696655273,-65.7560806274414
Andrés Ibáñez,2,Santa Cruz,-17.84432665507,-63.1899286905924
Chiquitos,2,Santa Cruz,-17.7497749328613,-61.7304401397705
Cordillera,2,Santa Cruz,-19.7377178192139,-63.3962600708008
Florida,2,Santa Cruz,-18.1742882728577,-63.9396352767944
Guarayos,2,Santa Cruz,-16.1117081642151,-63.0515937805176
Ichilo,2,Santa Cruz,-17.367733001709,-63.8231989542643
Ignacio Warnes,2,Santa Cruz,-17.2200393676758,-62.894115447998
José Miguel de Velasco,2,Santa Cruz,-16.6206334431966,-60.8661664326986
Manuel María Caballero,2,Santa Cruz,-18.0048503875732,-64.5574493408203
Nuflo De Chavez,2,Santa Cruz,-16.8205337524414,-62.3413009643555
Obispo Santistevan,2,Santa Cruz,-17.2855110168457,-63.2366161346436
Provincia de Chiquitos,2,Santa Cruz,-18.2007700602214,-60.0059127807617
Provincia de Ignacio Warnes,2,Santa Cruz,-17.5181007385254,-63.1694984436035
Vallegrande,2,Santa Cruz,-18.4698534011841,-64.1920299530029
Aniceto Arce,2,Tarija,-22.7325000762939,-64.3426971435547
Burnet O'Connor,2,Tarija,-21.526388168335,-64.1733322143555
Cercado,2,Tarija,-21.531810760498,-64.7311630249023
Eustaquio Méndez,2,Tarija,-21.4481840133667,-64.8265686035156
Gran Chaco,2,Tarija,-21.7093594868978,-63.6330604553223
José María Avilés,2,Tarija,-21.7921714782715,-64.6842193603516
