organization_id, name, website
CEDESCO,Centro de Desarrollo Comunal y Municipal,http://www.cedesco.org/
CEDIB,Centro de Documentación e Información,http://www.cedib.org/
CEDLA,Centro de Estudios para el Desarrollo Laboral y Agrario,http://www.cedla.org/
CEFREC,Centro de Formación y Realización Cinematográfica,www.nativenetworks.si.edu/Esp/rose/cefrec.htm
CEGSAMA,Centro de Apoyo a la Gestión Sustentable del Agua y del Medio Ambiente,http://www.aguasustentable.org/
CEJIS,Centro de Estudios Jurídicos e Investigación Social,http://www.cejis.org/
CEMSE,Centro de Multiservicios Educativos,www.cemse.org.bo
CENDA,Centro de Comunicación y Desarrollo Andino,http://www.cenda.org/
CEPAC,Centro de Promoción Agropecuaria Campesina,http://www.cepac.org.bo/
CEPAS,Cáritas Boliviana,http://www.caritasbolivia.org/
CEPOIM,Concejo Educativo del Pueblo Originario Indígena Mojeño,http://www.cepos.bo/
CEPROMIN,Centro de Promoción Minera,http://www.cepromin.org.bo/
CERAI,Centro de Estudios Rurales y de Agricultura Internacional,http://www.cerai.org/
CESA,Centro de Servicios Agropecuarios,
CESK,Centro Educativo Sumaq Kawsaypaq,
CETHA,Centro de Educación Técnica Humanística Agropecuaria - Emborozú,http://www.cethaemborozu.org/
CETM,Centro de Estudio y Trabajo de la Mujer,http://www.cetmbolivia.org/
CIC_BATA,Centro de Iniciativas para la Cooperación Batá,http://www.cicbata.org/
CID,Centro de Iniciativas para el Desarrollo,
CIDAC,Centro Investigación, Diseño Artesanal y Comercialización Cooperativa,
CIDOB,Confederación de Pueblos Indigenas de Bolivia,http://www.cidob-bo.org/
CIEC,Centro Interdisciplinario de Estudios Comunitarios,http://www.ciec.org.bo/
CIEP,Centro de Investigaciones de Energía y Población,
CIES,CIES Salud Sexual y Reproductiva,http://www.cies.org.bo/
CINER,Centro de Información en Energías Renovables,http://www.ciner.org/
CIOEC,Coordinadora de Integración de Org Económicas Campesinas Bolivia,
CIPCA,Centro de Investigación y Promoción del Campesinado,http://www.cipca.org.bo/
COICABOL,Coordinadora de Organizaciones Indígenas Campesinas de Bolivia,
CONAMAQ,Consejo Nacional de Ayllus y Markas del Qullasuyu,
COPADE,Fundación Copade,http://www.copade.es/
CSCBBOL,Confederación Sindical de Comunidades Interculturales de Bolivia,
CSUTCB,Confederación Sindical Única de Trabajadores Campesinos de Bolivia,
DdALM,Diputación de Almería,http://www.dipalme.org/
DdC,Diputación de Cádiz,http://www.dipucadiz.es/
DdCor,Diputación de Córdoba,http://www.dipucordoba.es/
DdCR,Diputación de Ciudad Real,
DdGIR,Diputación de Girona,http://www.ddgi.cat/
